text,value
doggy_style,1.4
dogie style,1.0
dogsh1t,1.2
dogsh1ts,1.0
dogshit,1.0
dogshits,1.4
dogstyle,1.0
dolt,1.0
dong,1.2
doosh,1.4
dothead,2.6
double dick,1.6
double dicking,2.2
double pen,1.2
double-dong,1.4
douche,1.0
douche bag,1.0
douche canoe,1.4
douchebag,1.4
dumasses,1.0
dumb bastard,1.2
dumb fucker,2.0
dumb@ss,1.2
dumbarrassed,1.4
dumbass,1.4
dumbass fucker,2.6
dumbass mofoes,2.4
dumbass mothafuckers,2.8
dumbass son-of-a-bitch,1.8
dumbasses,1.0
dumbfucks,2.2
dumbshit,1.6
dump a load,1.6
dune coon,3.0
dyke,2.8
erectoplasm,1.8
f_u_c_k,2.2
f'ed,1.8
f'er,1.6
f@ck,1.6
f@cker bunny,2.2
f@g,2.8
f@gg0t,3.0
f@gging,2.8
f@ggot,3.0
f@gs,3.0
f@gshit,2.8
f@k,1.8
f0ck,2.0
f0cked,2.0
f0cker,2.4
f0ckers,2.2
face fuck,2.8
fack,1.4
fackuhs,2.0
fag,2.8
fag asses,2.8
fag bag,2.8
fag hag,2.6
fag queen,2.8
fag0t,3.0
faget,3.0
fagg0t,3.0
fagging,3.0
faggo,2.8
faggot,2.8
faggot mofoes,3.0
faggot mothafuckers,3.0
faggot nob jokeys,3.0
faggot nobjockies,3.0
faggot son-of-a-bitch,3.0
faggoting,3.0
faggots,3.0
faggs,3.0
faggy,3.0
fagot,2.8
fags,3.0
fagshit,3.0
fart-fucker,2.2
fatass,1.2
fatasses,1.2
fccuker,2.0
fck,2.4
fck you,2.2
fcka,1.8
fckahz,2.2
fcked,2.0
fckedup,2.0
fcker,2.2
fckin,2.0
fcking,2.2
Fckk,2.2
fckked,2.0
fckking,2.2
fcks,2.0
fcktard,2.8
fckyeah,1.6
fcuk,2.0
fcuked,2.2
fcuker,2.4
fcukers,2.2
fcuking,2.2
fcukker,2.2
fcuks,2.2
fcvking,2.2
feck,1.6
feck arse,2.2
fecker,2.2
feg,2.4
fellatio aficionado,2.0
fellator,1.6
fick,1.6
finger,1.0
finger fuck,2.6
fingerbanged,1.6
fingerpop,1.4
fk bunny,2.0
fkbny,1.6
fked,2.0
fker,2.4
fking,2.2
fkings,1.8
fkker,2.2
flamer,2.0
flamers,2.8
focker,2.0
fook,1.6
fooker,1.8
fookuh,1.8
forked,1.0
fothermuckers,1.8
fuc,1.6
fucc,2.0
fucca,2.0
fuccers,2.2
fuccing,2.6
fuccs,2.0
Fuck,2.0
fuck arse,2.4
fuck face,2.4
fuck faces,2.2
fuck goblin,2.2
fuck head,2.4
fuck off,2.0
fuck up,1.8
fuck y0u,2.4
fuck you,2.4
fuck your,2.4
fuck your mother,2.8
fucka,2.2
fuckahs,2.0
fuckass,2.4
fuckasses,2.4
fuckaz,2.2
fuckbag,2.6
fuckboy,2.6
fucked,1.8
fucked up,2.2
fuckem,2.2
fucker,2.2
fucker off,2.0
fuckers,2.4
fuckface,2.2
fuckfaces,2.2
fuckhead,2.2
fuckheaded,2.6
fuckheads,2.6
fuckin,2.0
fucking,2.2
fucking A,2.4
fucking asshole,2.8
fucking bastard,2.4
fucking hell,2.0
fucking me,2.2
fucking retard,3.0
fucking shit,1.8
fuckk,2.2
fuckless,2.0
fuckmachine,2.0
fucknuckle,2.4
fucks,2.0
fuckshit,2.4
fuckshitface,2.4
fuckshithead,2.8
fuckstar,2.2
fuckster,2.2
fuckstick,2.2
fucktard,2.8
fucktards,2.6
fuckup,2.0
fuckwad,2.2
fuckwhore,2.6
fucs,2.4
fucx,2.2
fudgefucker,3.0
fudgepacker,2.4
fudgepackers,2.2
fudgepackershitter,3.0
fudgepacking fucker,3.0
fugged,1.8
fugger,2.0
fuggerz,2.6
fuggings,2.0
fugly,1.4
fuk,2.0
fuk1n,2.0
fuk1ng,2.2
fukcs,2.0
fuker,2.2
fukheads,2.0
fukin,2.2
fuking,2.0
fukk,2.0
fukka,2.2
fukked,2.0
fukker,2.0
fukkers,2.0
fukking,2.0
fukkings,2.0
fukkuh,2.2
fuks,2.2
fuku,2.6
fukwhore,2.8
fukwit,2.2
full of shit,1.0
funbags,1.0
fuq,1.8
futhamucka,2.6
fux,2.2
fux0r,2.0
fvck,1.8
fvck you,2.2
fvcka,2.0
fvckbunny,2.2
fvcker,2.4
fvckers,2.2
fvckin,1.8
fvcking,2.0
fvckker bunny,2.2
fvckwhi,2.2
fxck,1.6
fxcked,2.0
fxcker,2.2
fxcking,2.2
g@y b1tch,2.6
g@ylord,1.8
g@yshit,2.6
g0ddamn,1.2
g0ddamned,1.6
g0ddamnit,1.0
gash-stabber,2.0
gay ass,2.6
gay bitch,2.6
gay fuck,2.6
gay fucker,2.8
gay shit,1.8
gay wad,2.0
gayest,1.0
gaylord,1.6
gaylords,2.2
gayness,1.4
gaysian,2.6
gaytard,2.8
geebag,1.8
get fucked,2.4
gin jockey,2.0
girlieboy,1.4
girly bits,1.0
girlyboy,1.4
go fuck yourself,2.6
go to hell,1.0
gobshite,1.8
god dammit,1.6
god damn,1.4
god damn it,1.8
god damned,1.2
god damnit,2.2
god-dam,1.2
god-damned,1.4
godamnit,2.0
godd@amn,1.4
godd@mnit,1.4
goddammit,1.0
goddamn,1.6
goddamn mothafuckers,2.8
goddamn son of a bitch,2.2
goddamn son-of-a-bitch,1.4
goddamned,1.8
goddamnit,1.6
gook,2.8
gowl,1.6
greaser,1.0
groid,2.0
groper,1.4
gyp,2.0
harry palms,1.6
heeb,2.2
higg@,2.6
higg3r,2.8
higga,2.8
higger,2.6
higgers,3.0
hoar,1.8
hoe,2.0
hoe-asses,2.2
hoebag,2.0
hoes,2.0
holy fuck,2.0
homo,2.2
homo asses,2.8
homos,2.2
hooters,1.0
horse shit,1.2
horse's asses,1.4
horseshit,1.2
hustler,1.0
injun,2.4
j-offs,1.4
j3rk,1.0
ja!lbait,1.0
ja1lbait,1.0
Jack off,1.4
jack-off,1.2
jack-offs,1.4
jackarse,1.0
jackass,1.0
jackasses,1.0
jackasss,1.2
jackoff,2.0
jackoffs,1.2
jackoffz,1.6
jagoff,1.0
jailba!t,1.6
jailbait,1.0
jap,2.8
jerk off,1.0
jerk-0ff,1.2
jerk-0ffs,1.4
jerk-off,1.2
jerk-offs,1.0
jerking off,1.0
jerkoff,1.6
jerkoff jerking off,1.2
jerkoffs,1.2
jerks off,1.4
jewboy,2.8
jigaboo,2.4
jigaboos,2.8
jigga,2.4
jiggaboo,3.0
jiggabooboo,2.4
jiggaboos,3.0
jiggabu,3.0
jiggas,2.8
jigger,3.0
jiggerboo,2.6
jiggerboos,3.0
jiggs,2.6
jiggyboo,3.0
jigro,2.8
jim crow,1.4
jizz,1.6
jizz eater,2.4
jizz licker,2.4
jizz-jockey,2.2
jizzbags,2.4
jizzed,2.0
jizzes,2.2
jizzfucker,2.6
jizzing,1.6
jizzsacks,1.8
jizzstain,2.8
jizzy,1.6
k!k3,2.6
k!ke,3.0
k..!ke,3.0
k1k3,3.0
k1ke,2.8
kid diddler,3.0
kiddy touch,1.8
kike,3.0
kikes,3.0
kiss ass,1.0
kiss my ass,1.6
kitty puncher,2.2
kkk,1.8
klan,1.8
klitoris,1.0
kneegrows,2.8
knickers,1.8
knob,1.4
knob eater,2.2
knob gobbler,1.8
knob jockey,1.8
knob-face,1.6
knob-gobbler,1.6
knob-head,2.0
knob3d,1.6
knob3nd,1.2
knobd,1.2
knobe,1.0
knobead,1.4
knobeads,1.4
knobed,1.4
knobeds,1.8
knobend,1.2
knobender,2.2
knobends,1.4
knobendy,1.6
knobendz,1.4
knober,1.0
knobes,1.2
knobgobbler,1.8
knobhead,1.6
knobheads,1.6
knobjockies,1.8
knobjocky,2.2
knobjokey,2.6
knobjokeys,1.8
ku kluxer,2.6
kyke,3.0
l@dyb0i,2.2
l@dyb0y,2.0
l@dyboy,2.0
l3i + ch,1.2
l3i+ch,1.2
l3itch,1.4
l3itches,1.2
ladboys,1.4
ladboyz,1.4
ladiboy,2.2
lady-boy,2.6
ladyb0i,2.2
ladyb0y,2.4
ladyboy,2.2
ladyboys,2.4
ladyboyz,1.4
lesbo,2.2
loose woman,1.4
m@asterbated,1.4
m@derfaker,2.8
m@derfuck,3.0
m@derfuckers,2.6
m0f0,2.0
m0f0s,2.4
m0fo,2.6
m0foes,2.2
m0fos,2.6
m0ng0l0id,2.2
m0ngoloid,2.2
m0thafucked,3.0
m0thafucker,3.0
m0thafucking,2.8
m0therfuckeds,2.8
m0therfucker,2.4
m0therfucking,3.0
m0therfvcker,3.0
man chowder,1.0
man meat,1.2
man seed,1.0
markasses,2.0
meat curtains,2.0
meat-sword,1.2
mecha fag,3.0
mega fag,2.8
mf'er,2.2
mf'ers,2.6
mf'ing,2.2
mfckers,2.2
MFer,1.8
MFers,2.8
mfing,1.8
mfk,1.6
mfs,2.2
mfukk,3.0
mfukker,2.8
milf,1.8
mindfuck,2.2
mof0es,2.2
mof0s,2.6
mofcker,2.6
mofo,2.0
mofo ass,2.4
mofoes,2.0
mofos,2.0
mofoshit,2.2
mofuccers,2.4
mofucckers,2.4
mofuck,2.8
mofucker,2.0
mofuckkas,2.4
mofuk,2.2
mofukkas,2.4
molester,2.2
mong,1.8
mongoloid,2.2
mongrel,2.6
motha fucka,2.8
motha fucker,2.4
motha fuckers,3.0
mothaf@cked,2.6
mothafcked,2.6
mothafcking,2.8
Mothafucc,2.8
mothafucced,2.6
mothafuccer,3.0
mothafuccing,3.0
mothafuck,2.8
mothafucka,2.8
mothafuckas,2.6
mothafuckasses,3.0
mothafuckaz,2.6
mothafuckazzes,3.0
mothafucked,2.8
mothafuckeds,2.8
mothafucker,3.0
mothafuckers,2.6
mothafuckin,2.6
mothafucking,3.0
mothafuckings,2.8
mothafuckins,2.6
mothafucks,2.8
mothafuckz,2.6
mothafvcked,2.8
mother effer,2.2
mother fuck,2.8
mother fuck you,2.6
mother fucka,2.8
mother fucker,3.0
mother fuckers,3.0
mother fucking,3.0
mothercker,2.2
motherf@kka,2.6
motherfacking,2.4
motherfcked,2.8
motherfckin,3.0
motherfcking,3.0
motherfcks,2.8
motherfckshit,2.8
motherfecka,2.4
motherfecker,2.8
motherfk,2.8
motherfucca,2.6
motherfuccas,3.0
motherfuccers,3.0
motherfuck,2.4
motherfucked,3.0
motherfuckeds,3.0
motherfucker,3.0
motherfuckers,2.8
motherfuckin,2.6
motherfucking,2.8
motherfuckings,2.8
motherfuckingshit,2.8
motherfuckins,2.8
motherfuckka,3.0
motherfuckkas,3.0
motherfuckkers,3.0
motherfucks,3.0
motherfukka,3.0
motherfukker,3.0
motherfukkings,2.6
motherfvck,2.6
motherfvcked,2.6
motherfvckeds,2.2
motherfvcker,3.0
motherfvckers,2.8
motherfvcking,2.8
motherfxck,2.4
motherfxcking,2.6
mothfck,2.6
mothter fuck,3.0
mtherfuker,3.0
mthrfcker,2.6
muddafukkas,3.0
mudderfuk,2.2
mudderfukker,2.6
mufdive,1.8
mufdivin,2.8
muff,1.4
muffdiving,2.0
muffdivings,2.2
muffindivin,1.8
muffindiving,1.8
muhfucking,2.4
mushroom tip,1.4
mutha fucka,2.8
mutha fucker,2.4
muthafecker,2.8
muthafeckers,3.0
muthafucka,2.8
muthafuckers,3.0
muthafuckings,3.0
muthafuckker,3.0
muthafuckkers,2.8
muthafukka,3.0
mutherfucker,2.6
mutherfuckers,2.8
n0bhead,1.6
n0bj0cky,2.4
n1ckker,2.8
n1g3r,3.0
n1g3rz,3.0
n1gg@,3.0
n1gg@hs,2.8
n1gg3r,3.0
n1gg3rs,3.0
n1gga,2.4
n1ggah,2.8
n1ggahs,3.0
n1ggas,3.0
n1ggazes,3.0
n1gger,3.0
n1ggers,3.0
n1gguh,2.8
n3gro,2.4
negga,2.8
neggar,2.8
negr0,2.8
negro,2.0
negroes,2.6
negroid,2.6
niccer,2.6
nicka,2.6
nickas,2.8
nicker,3.0
nickk3r,3.0
nickker,3.0
nig,3.0
nig-nog,2.8
niga,2.6
nigah,2.8
nigasses,3.0
nigers,3.0
nigg@,2.8
nigg@hs,2.8
nigg@s,2.8
nigg@z,2.6
nigg@zzes,2.8
nigg3r,3.0
nigg3rs,3.0
nigg4h,3.0
nigg4hs,2.8
nigga,2.8
nigga lover,3.0
niggah,2.8
niggahs,2.2
niggahz,3.0
niggas,2.8
niggass,2.6
niggaz,2.2
niggazzes,2.8
nigger,3.0
nigger lover,3.0
niggers,3.0
niggerz,3.0
niggir,3.0
niggress,3.0
nigguh,2.8
nigguhs,3.0
nigguhz,3.0
niglet,3.0
nignigs,3.0
nignog,2.8
nigra,2.8
nigre,3.0
nigs,2.8
niguh,2.8
nikk3r,3.0
nikkas,3.0
nikker,2.8
nip,2.0
nob jockey,2.2
nob jokeys,1.8
nobbyhead,1.4
nobhead,1.6
nobheads,1.4
nobj0key,1.8
nobjockies,1.8
nobjocky,2.4
nobjokey,2.0
nobjokeys,1.8
nobs,1.2
nonce,1.4
nuckas,2.6
nuggets,1.2
nut butter,1.4
nutsack,1.8
nutsacks,1.6
nympho,1.0
nymphomaniac,1.4
octopussy,1.2
oven dodger,2.0
p3n1shead,1.8
p3nisfcker,3.0
p3nisfcukers,2.8
p3nisfvcker,2.8
p3nisfvckers,2.8
pack my fudge,2.0
packerfudgehead,2.2
packing fudge,2.4
packing fudgehead,1.8
packingfudge,2.4
packingfudgefucker,2.8
packingfudgefucking,2.4
packsomefudgefucker,2.4
paki,2.6
palm jockey,1.2
pancake face,1.6
pecker,1.4
peckerhead,1.6
pedo,2.2
pedobear,2.0
pedobears,2.2
pedophl,2.2
pedos,2.4
pedoz,2.0
peen,1.0
peener,1.0
penisfcker,3.0
penisfuccer,2.8
penisfucker,3.0
penisfuckers,3.0
penisfvcker,3.0
penisfvckers,2.8
penishead,1.4
peter,1.0
peter puffer,1.8
ph@ggots,2.8
phaggot,2.8
phaggots,3.0
phagot,3.0
phags,3.0
phuc,2.0
phucc,2.0
phuccer,2.2
phucchead,2.0
phuccing,1.8
phuck,2.2
phuck3r,1.8
phucked,2.0
phucker,2.2
phuckin,2.0
phucking,2.4
phuckings,2.4
phucks,2.0
phucup,1.8
phuk,2.0
phuked,2.2
phukeds,2.0
phukhead,2.4
phuking,2.2
phukings,2.2
phukk,1.8
phukked,2.0
phukkeds,2.0
phukker,2.2
Phukking,1.8
phuks,2.2
phukshit,2.2
phuku,2.2
phukup,1.8
phuq,2.2
phuqs,1.8
phvckings,2.2
pig fucker,2.8
pigfucker,2.6
pigfuckers,3.0
pigfucking,2.6
pigfukker,2.8
piggyfuck,3.0
pigshit,1.4
pillow biter,2.4
pillow-biter,1.6
piss face,1.4
piss off fuckhead,3.0
piss shit,1.4
pissoff,1.2
pissoffs,1.4
pole licker,2.2
pole smoker,2.0
pole sucker,1.8
polesmoker,2.2
porch monkey,3.0
prick,1.0
prick-face,1.2
prick-gobbler,2.2
prick-head,1.8
pricks,1.0
pu$sy,1.6
pu55y,1.6
pull the pud,1.2
punani,1.8
punk ass mofoes,2.8
punkasses,1.2
puss,1.4
pusses,1.4
pussie,2.0
pussies,1.0
pussless,2.0
pusslicker,2.2
pussy,1.4
pussy cat,1.4
pussy fucker,2.8
pussy lick,2.4
pussy licker,2.4
pussy licking,2.4
pussylickers,2.8
pussys,2.0
pussywhipped,1.8
puta,1.8
puussy,1.4
puzzies,1.4
puzzy,1.2
queerasses,3.0
queers,1.8
r3t@rd,2.8
r3t@rded,2.8
r3tard,2.6
raghead,3.0
ragheads,2.6
ragtard,3.0
ramrod,1.0
rat bastard,1.6
rat baztad,1.8
reacharound,1.2
rectum,1.0
redskin,2.2
retard,2.8
retardo,2.6
retardotron,1.8
rice monkey,3.0
rim job,2.0
s_h_i_,1.2
s_h_i_s,1.0
s-lut,1.8
s.o.b.,1.2
s.o.b.s,1.6
s/h/i/t,1.0
S&M,1.0
sack,1.0
salad tosser,2.0
sambo,2.2
sand nigger,3.0
sausage jockey,2.6
scamfuck,2.4
schlong,1.0
scumfuck,2.8
scumfucker,2.8
scumfvck,2.4
scummy,1.2
scut,1.0
sh! +,1.2
sh!+,1.0
sh1s,1.0
sh1t,1.2
sh1t3,1.0
sh1td1ck,2.0
sh1tdick,2.4
